Point, Distance, Depth, Resistivity
T3_29.8162r, 29.8162, 0.854, 834.47
T3_29.8162r, 29.8162, 1.79, 844.3
T3_29.8162r, 29.8162, 2.83, 1030
T3_29.8162r, 29.8162, 3.97, 588.29
T3_29.8162r, 29.8162, 5.22, 246.63
T3_29.8162r, 29.8162, 6.59, 169.93
T3_29.8162r, 29.8162, 8.11, 209.84
T3_29.8162r, 29.8162, 9.77, 494.96
T3_29.8162r, 29.8162, 11.6, 1462.4
T3_32.3162r, 32.3162, 0.854, 586.79
T3_32.3162r, 32.3162, 1.79, 2716.7
T3_32.3162r, 32.3162, 2.83, 1413
T3_32.3162r, 32.3162, 3.97, 412.51
T3_32.3162r, 32.3162, 5.22, 181.36
T3_32.3162r, 32.3162, 6.59, 161.49
T3_32.3162r, 32.3162, 8.11, 261.43
T3_32.3162r, 32.3162, 9.77, 739.31
T3_32.3162r, 32.3162, 11.6, 2331.4
T3_34.8162r, 34.8162, 0.854, 583.01
T3_34.8162r, 34.8162, 1.79, 3061.3
T3_34.8162r, 34.8162, 2.83, 903.85
T3_34.8162r, 34.8162, 3.97, 249.9
T3_34.8162r, 34.8162, 5.22, 166.02
T3_34.8162r, 34.8162, 6.59, 190.41
T3_34.8162r, 34.8162, 8.11, 378.57
T3_34.8162r, 34.8162, 9.77, 1057.2
T3_34.8162r, 34.8162, 11.6, 3112.3
T3_37.3162r, 37.3162, 0.854, 649.23
T3_37.3162r, 37.3162, 1.79, 785.16
T3_37.3162r, 37.3162, 2.83, 406.84
T3_37.3162r, 37.3162, 3.97, 315.77
T3_37.3162r, 37.3162, 5.22, 268.03
T3_37.3162r, 37.3162, 6.59, 290.73
T3_37.3162r, 37.3162, 8.11, 494.86
T3_37.3162r, 37.3162, 9.77, 1242.2
T3_37.3162r, 37.3162, 11.6, 3509.8
T3_39.8162r, 39.8162, 0.854, 1946
T3_39.8162r, 39.8162, 1.79, 786.35
T3_39.8162r, 39.8162, 2.83, 686.35
T3_39.8162r, 39.8162, 3.97, 915.21
T3_39.8162r, 39.8162, 5.22, 611.58
T3_39.8162r, 39.8162, 6.59, 375.72
T3_39.8162r, 39.8162, 8.11, 435.69
T3_39.8162r, 39.8162, 9.77, 1024.1
T3_39.8162r, 39.8162, 11.6, 3057.9
T3_42.3162r, 42.3162, 0.854, 3720.3
T3_42.3162r, 42.3162, 1.79, 625.5
T3_42.3162r, 42.3162, 2.83, 671.32
T3_42.3162r, 42.3162, 3.97, 730.01
T3_42.3162r, 42.3162, 5.22, 360.86
T3_42.3162r, 42.3162, 6.59, 212.11
T3_42.3162r, 42.3162, 8.11, 266.3
T3_42.3162r, 42.3162, 9.77, 700.22
T3_42.3162r, 42.3162, 11.6, 2272.2
T3_44.8162r, 44.8162, 0.854, 3220.2
T3_44.8162r, 44.8162, 1.79, 4985
T3_44.8162r, 44.8162, 2.83, 2680.1
T3_44.8162r, 44.8162, 3.97, 1028.2
T3_44.8162r, 44.8162, 5.22, 372.24
T3_44.8162r, 44.8162, 6.59, 226.89
T3_44.8162r, 44.8162, 8.11, 290.81
T3_44.8162r, 44.8162, 9.77, 697.11
T3_44.8162r, 44.8162, 11.6, 1997.4
T3_47.3162r, 47.3162, 0.854, 2105.8
T3_47.3162r, 47.3162, 1.79, 2691.1
T3_47.3162r, 47.3162, 2.83, 1813.3
T3_47.3162r, 47.3162, 3.97, 947.48
T3_47.3162r, 47.3162, 5.22, 492.55
T3_47.3162r, 47.3162, 6.59, 357.83
T3_47.3162r, 47.3162, 8.11, 446.91
T3_47.3162r, 47.3162, 9.77, 899.75
T3_47.3162r, 47.3162, 11.6, 2127.6
T3_49.8162r, 49.8162, 0.854, 1626.4
T3_49.8162r, 49.8162, 1.79, 762.37
T3_49.8162r, 49.8162, 2.83, 641.31
T3_49.8162r, 49.8162, 3.97, 479.98
T3_49.8162r, 49.8162, 5.22, 346.85
T3_49.8162r, 49.8162, 6.59, 350.43
T3_49.8162r, 49.8162, 8.11, 543.53
T3_49.8162r, 49.8162, 9.77, 1137.8
T3_49.8162r, 49.8162, 11.6, 2473.7
T3_52.3162r, 52.3162, 0.854, 1813
T3_52.3162r, 52.3162, 1.79, 1598.4
T3_52.3162r, 52.3162, 2.83, 1452.2
T3_52.3162r, 52.3162, 3.97, 1078.1
T3_52.3162r, 52.3162, 5.22, 795.93
T3_52.3162r, 52.3162, 6.59, 787.02
T3_52.3162r, 52.3162, 8.11, 1128
T3_52.3162r, 52.3162, 9.77, 2130.1
T3_52.3162r, 52.3162, 11.6, 4277
T3_54.8162r, 54.8162, 0.854, 1773.9
T3_54.8162r, 54.8162, 1.79, 3050.6
T3_54.8162r, 54.8162, 2.83, 3114.4
T3_54.8162r, 54.8162, 3.97, 2360
T3_54.8162r, 54.8162, 5.22, 1879.1
T3_54.8162r, 54.8162, 6.59, 1954.6
T3_54.8162r, 54.8162, 8.11, 2740.9
T3_54.8162r, 54.8162, 9.77, 4974
T3_54.8162r, 54.8162, 11.6, 10711.2
T3_57.3162r, 57.3162, 0.854, 2544.4
T3_57.3162r, 57.3162, 1.79, 2457.1
T3_57.3162r, 57.3162, 2.83, 3022.4
T3_57.3162r, 57.3162, 3.97, 3028.3
T3_57.3162r, 57.3162, 5.22, 2832.3
T3_57.3162r, 57.3162, 6.59, 3108.5
T3_57.3162r, 57.3162, 8.11, 4314.3
T3_57.3162r, 57.3162, 9.77, 7465.7
T3_57.3162r, 57.3162, 11.6, 15329.3
T3_59.8162r, 59.8162, 0.854, 2455.1
T3_59.8162r, 59.8162, 1.79, 3176.5
T3_59.8162r, 59.8162, 2.83, 4483.6
T3_59.8162r, 59.8162, 3.97, 4468.5
T3_59.8162r, 59.8162, 5.22, 3725.5
T3_59.8162r, 59.8162, 6.59, 3532.9
T3_59.8162r, 59.8162, 8.11, 4360.6
T3_59.8162r, 59.8162, 9.77, 6886.2
T3_59.8162r, 59.8162, 11.6, 12783.9
T3_62.3162r, 62.3162, 0.854, 2126.2
T3_62.3162r, 62.3162, 1.79, 2987.6
T3_62.3162r, 62.3162, 2.83, 4690.3
T3_62.3162r, 62.3162, 3.97, 5119.2
T3_62.3162r, 62.3162, 5.22, 4406.3
T3_62.3162r, 62.3162, 6.59, 3962.2
T3_62.3162r, 62.3162, 8.11, 4311.1
T3_62.3162r, 62.3162, 9.77, 5722
T3_62.3162r, 62.3162, 11.6, 8546.7
T3_64.8162r, 64.8162, 0.854, 2529.5
T3_64.8162r, 64.8162, 1.79, 3557.3
T3_64.8162r, 64.8162, 2.83, 6268.6
T3_64.8162r, 64.8162, 3.97, 7949.1
T3_64.8162r, 64.8162, 5.22, 7426.4
